id;title;description;priority;status;create_time;update_time;archived
1;fond moor past;../fake-data/blob/hipster.txt;NORMAL;WORKING_ON_IT;2025-06-14T18:03:27;2025-06-14T08:43:51;true
2;um as;../fake-data/blob/hipster.txt;LOW;DONE;2025-06-14T04:07:48;2025-06-14T06:41:03;false
3;um grumpy hmph;../fake-data/blob/hipster.txt;NORMAL;DONE;2025-06-13T22:36:05;2025-06-14T01:27:49;false
4;smog now circle;../fake-data/blob/hipster.txt;NORMAL;NOT_STARTED;2025-06-14T10:56:45;2025-06-14T06:48:55;false
5;untimely ack;../fake-data/blob/hipster.txt;HIGH;DONE;2025-06-14T02:46:53;2025-06-14T07:58:46;true
6;new acidly co-producer;../fake-data/blob/hipster.txt;LOW;WORKING_ON_IT;2025-06-14T13:16:12;2025-06-14T07:20:38;true
7;certification;../fake-data/blob/hipster.txt;NORMAL;DONE;2025-06-13T21:57:36;2025-06-13T23:24:28;false
8;smooth;../fake-data/blob/hipster.txt;LOW;NOT_STARTED;2025-06-14T14:37:35;2025-06-14T07:49:01;false
9;damaged generally woot;../fake-data/blob/hipster.txt;HIGH;NOT_STARTED;2025-06-14T16:49:54;2025-06-14T07:53:26;true
10;sniff;../fake-data/blob/hipster.txt;NORMAL;DONE;2025-06-14T01:40:09;2025-06-14T09:45:23;true
